constituency_code,candidate,party,constituency,state,runner_votes
S25113,SAYANTIKA BANERJEE,All India Trinamool Congress,BARANAGAR,WEST BENGAL,64774
S2570,BAPAN GHOSH,Bharatiya Janata Party,REJINAGAR,WEST BENGAL,64660
S2545,RATAN DAS,Bharatiya Janata Party,CHANCHAL,WEST BENGAL,64140
S2543,AMAL KISKU,All India Trinamool Congress,HABIBPUR,WEST BENGAL,63874
S2599,SUKRITI KUMAR SARKAR,Bharatiya Janata Party,BADURIA,WEST BENGAL,63273
S2568,APURBA SARKAR (DAVID),All India Trinamool Congress,KANDI,WEST BENGAL,63020
S2522,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,KALIMPONG,WEST BENGAL,62826
S25108,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,BARRACKPUR,WEST BENGAL,62644
S2525,SHANKAR MALAKAR,All India Trinamool Congress,MATIGARA-NAXALBARI,WEST BENGAL,62640
S2531,MANOJ KUMAR JAIN,Bharatiya Janata Party,CHAKULIA,WEST BENGAL,62266
S2554,CHANDANA SARKAR,All India Trinamool Congress,BAISNABNAGAR,WEST BENGAL,61811
S2514,JAYPRAKASH TOPPO,All India Trinamool Congress,MADARIHAT,WEST BENGAL,61578
S25167,SHRREYA PANDE,All India Trinamool Congress,MANIKTALA,WEST BENGAL,60726
S25116,SUJIT BOSE,All India Trinamool Congress,BIDHANNAGAR,WEST BENGAL,60649
S25163,DR. PRIYANKA TIBREWAL,Bharatiya Janata Party,ENTALLY,WEST BENGAL,60421
S2551,ASIS KUNDU (PATA),All India Trinamool Congress,ENGLISH BAZAR,WEST BENGAL,60312
S2569,ANAMIKA GHOSH,Bharatiya Janata Party,BHARATPUR,WEST BENGAL,60117
S25122,RUDRENDRA PATRA,Bharatiya Janata Party,MINAKHAN,WEST BENGAL,59787
S2571,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,BELDANGA,WEST BENGAL,59664
S25224,PRADIP SARKAR,All India Trinamool Congress,KHARAGPUR SADAR,WEST BENGAL,59379
S25294,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,MURARAI,WEST BENGAL,59197
S25112,ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,KAMARHATI,WEST BENGAL,59171
S25111,TIRTHANKAR GHOSH,All India Trinamool Congress,PANIHATI,WEST BENGAL,59141
