candidate,party,constituency_count
POOMANI. P.,Independent,1
POOVARASAN. S,Independent,1
POOVARASU,Tamilar Makkal Katchi,1
PORKODI ARMSTRONG,All India Anna Dravida Munnetra Kazhagam,1
PORSELVAN. B.S,Independent,1
POULOSH. D,Independent,1
POUNDURAI.K,Independent,1
POUNRAJ. N.,Independent,1
POYYAMOZHI. M,Proutist Sarva Samaj,1
POYYATHAPPAN K,Independent,1
P. PALANIVEL,Independent,1
P.PARTHIBAN,Independent,1
P.PERIYAPULLAN (A) SELVAM,All India Anna Dravida Munnetra Kazhagam,1
P. PONRAJ,Independent,1
P.PON RAJA,Tamizhaga Vaazhvurimai Katchi,1
P POOMALAR,Dravida Munnetra Kazhagam,1
P. PUSHPALATHA,Naam Tamilar Katchi,1
PRABAHARAN. M,Independent,1
PRABAKARAN,Puthiya Tamilagam,1
PRABAKARAN M,Independent,1
PRABAKARAN .R,Independent,1
PRABAKARAN. S,Independent,1
PRABAKARAN S.T,Independent,1
PRABAKARAN.T,Independent,1
PRABAKARAN. V,Bahujan Samaj Party,1
PRABHAKARAN.B,Independent,1
PRABHAKARAN D,Independent,1
PRABHAKARAN. M.,Independent,1
PRABHAKARAN. S,Tamilaga Vettri Kazhagam,1
PRABHAKARAN.T,Independent,1
PRABHAKARAN.V,Independent,1
PRABHAKARAN V J,Independent,1
PRABHAKARA RAJA.A.M.V,Dravida Munnetra Kazhagam,1
PRABHAKAR.J.C.D,Tamilaga Vettri Kazhagam,1
PRABHU. S,Independent,1
PRABHU. S,Thamizhaka Padaippalar Makkal Katchi,1
PRABHU. V,Independent,1
PRABHU.V.B,All India Anna Dravida Munnetra Kazhagam,1
PRABU C,Independent,1
PRABU. G,Independent,1
PRABU .K,Vishwa Tamil Kazhagam,1
PRADEEP. M,Puthiya Tamilagam,1
PRAJAPATHI VIJAY.C,Tamilar Makkal Katchi,1
P. RAJASEKARAN,Independent,1
P. RAJENDRAN,Independent,1
P.RAJENDRAN,Independent,1
PRAKASAM.R,Tamilaga Vettri Kazhagam,1
PRAKASH ARUNACHALAM,Independent,1
PRAKASH. N,Independent,1
PRAKASH P.,Independent,1
PRAKASH. R,Thamizhaka Padaippalar Makkal Katchi,1
PRAKASH.S,Tamilaga Vettri Kazhagam,1
P RAMASAMY,Tamizhaga Vaazhvurimai Katchi,1
PRASAD. N,Independent,1
PRASANNA KUMAR M.,Makkal Nalvaazhvuk Katchi,1
PRASANTH. DBJ.,Tamizhaga Vaazhvurimai Katchi,1
PRASANTH. S,Independent,1
PRASATH D,Independent,1
PRATHAP K,Independent,1
PRATHEEBA,Bahujan Samaj Party,1
PRAVEENA. S,Independent,1
PRAVEEN KUMAR,Independent,1
PRAVEENKUMAR. J,Independent,1
PRAVEENKUMAR K,Naam Tamilar Katchi,1
PRAVEEN KUMAR. M,Independent,1
PRAVEEN KUMAR R,Independent,1
PRAVEENKUMAR. R,Independent,1
PRAVEEN. S,Independent,1
PRAVEEN THIYAGARAJAN,Independent,1
PRAVEEN T.T,Indian National Congress,1
P.RAVI,Independent,1
PRAVINA. G,Independent,1
PREM ALEX LAWRENCE,Tamilaga Vettri Kazhagam,1
PREMALLATHA VIJAYAKANT,Desiya Murpokku Dravida Kazhagam,1
PREMKUMAR. K,Independent,1
PREMKUMAR.K,Independent,1
PREMKUMAR S D,Bharatiya Janata Party,1
PRINCE S,Republican Party of India (Athawale),1
PRISCILLA PANDIAN. J,Bharatiya Janata Party,1
PRITHVIRAJ. A,Independent,1
PRIYADHARSHINI. A,Naam Tamilar Katchi,1
PRIYA K,Independent,1
P. SANGARARAJ,Independent,1
P. SANTHANA KRISHNAN,All India Anna Dravida Munnetra Kazhagam,1
P. SARAVANAN,Tamizhaga Vaazhvurimai Katchi,1
P. SARAVANAN,Independent,1
P.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,1
P.SAROJA,Independent,1
P.SELVAKUMAR,Independent,1
P.SELVAM,Independent,1
P.SENTHILKUMAR,Independent,1
P.SRINIVASAN,Bahujan Samaj Party,1
P. SUDHAKAR,Bahujan Samaj Party,1
P. SUMATHI,Independent,1
P.TAMILSELVI,Independent,1
P. THANGAMANI,Independent,1
P.THANGAMANI,All India Anna Dravida Munnetra Kazhagam,1
P THANGARAJ,Independent,1
P.THIRUGNANASAMBANTHAM,Party for the Rights of Other backward Classes,1
PUGAZHENDHI D,Naam Tamilar Katchi,1
PUGAZHENDI. M,Dravida Munnetra Kazhagam,1
PULLANI,Independent,1
PUNITHA SHANMUGAM,Naam Tamilar Katchi,1
PURATCHIDASAN. T,Anaithinthiya Anna Dravida Makkal Seyal katchi,1
PURUSHOTHAMAN.B,Independent,1
PURUSHOTHAMAN K,Desiya Makkal Sakthi Katchi,1
PURUSHOTHAMAN P,Independent,1
PURUSOTHAMAN. M,Independent,1
P. VEDHAGIRI,Independent,1
P. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
P.VENKATESAN,Tamizhaga Vaazhvurimai Katchi,1
P VIJAYAKUMAR,Independent,1
P. VIJAYAKUMAR,Independent,1
P.VISWANATHAN,Indian National Congress,1
PY.DHATCHINAMURTHY,Tamizhaga Vaazhvurimai Katchi,1
RAAMA SREENIVASAN,Bharatiya Janata Party,1
R.ABINAYA,Naam Tamilar Katchi,1
RADHAKRISHNAN. D.R,Independent,1
RADHA KRISHNAN. G,Independent,1
RADHAKRISHNAN. G,Independent,1
RADHAKRISHNAN K.,All India Anna Dravida Munnetra Kazhagam,1
RADHAKRISHNAN. R,Independent,1
RADHAKRISHNAN. S,Independent,1
RADHIKA P,Naam Tamilar Katchi,1
RADHIKA S,Independent,1
RAFEEQ.A.M.,Independent,1
RAGHU.K,Puthiya Tamilagam,1
RAGHUL R,Independent,1
RAGHUNATH. K,Independent,1
RAGUJOSEPH. J,Independent,1
RAGUPATHI. K,Puthiya Tamilagam,1
RAGUPATHI. P,Naam Tamilar Katchi,1
RAGUPATHI. S,Anti Corruption Dynamic Party,1
RAGUPATHI. S,Independent,1
RAGUPATHY.B,Naam Tamilar Katchi,1
RAGURAMAN MURUGANANTHAM,Independent,1
RAHAMADULLAH S,Independent,1
RAJA. A,Independent,1
RAJA ANBAZHAGAN,Dravida Munnetra Kazhagam,1
RAJAA.T.R.B,Dravida Munnetra Kazhagam,1
RAJABU NISHA.Z,Naam Tamilar Katchi,1
RAJA. C.K,Dravida Munnetra Kazhagam,1
RAJA.D,Tamilaga Vettri Kazhagam,1
RAJADURAI S,Independent,1
RAJA. G.,Independent,1
RAJAGURU.M,Samaniya Makkal Nala Katchi,1
RAJA K,Independent,1
RAJA. K,Independent,1
RAJA.K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RAJA. K. B.SC. B.TECH. EX.INAS,Independent,1
RAJA. K.P.M,Independent,1
RAJAKUMAR P,Independent,1
RAJALAKSHMI.M,Bahujan Samaj Party,1
RAJALINGAM. M,Independent,1
RAJA. M,Tamizhaga Vaazhvurimai Katchi,1
RAJA. M,Independent,1
RAJA.M,Vishwa Tamil Kazhagam,1
RAJAMANICKAM M,Desiya Makkal Sakthi Katchi,1
RAJAMANIKKAM.A,Puthiya Tamilagam,1
RAJAMARAVAN. S,Independent,1
RAJAMOHAMMED T,Independent,1
RAJA. N,Independent,1
RAJAN. B. S,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
RAJANCHELLAPPA. V.V.,All India Anna Dravida Munnetra Kazhagam,1
RAJANGAM.C,Independent,1
RAJAN.P,Independent,1
RAJAN. S,Independent,1
RAJA. P,Independent,1
RAJAPANDIAN. K,Independent,1
RAJA R,Independent,1
RAJA. R,Independent,1
RAJARAJAN.U,Tamilaga Vettri Kazhagam,1
RAJARAM M,Independent,1
RAJA S,Independent,1
RAJA. S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RAJA.S,Vanchit Bahujan Aaghadi,1
RAJASEHAR. R,Independent,1
RAJASEKAR A,Tamilaga Vettri Kazhagam,1
RAJASEKARAN. B.,Tamizhaga Vaazhvurimai Katchi,1
RAJASEKARAN.K,Bahujan Samaj Party,1
RAJASEKARAN. N,Independent,1
RAJASEKARAN P,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
RAJASEKARAN. S,Independent,1
RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,1
RAJA SEKAR . G,Independent,1
RAJASEKAR.I,Independent,1
RAJASEKAR.J,Independent,1
RAJASEKAR.P,Tamizhaga Vaazhvurimai Katchi,1
RAJASIMHA MAHENDRA,Bharatiya Janata Party,1
RAJASIMMAN. D,Independent,1
RAJASINGH. C,Bahujan Samaj Party,1
RAJA. S.P,Tamizhaga Vaazhvurimai Katchi,1
RAJASUTHAN. N,Puthiya Tamilagam,1
RAJATHI.M,Naam Tamilar Katchi,1
RAJA. V,Independent,1
RAJAVARMAN.M.S.R,All India Anna Dravida Munnetra Kazhagam,1
RAJAVARMAN .R,Tamizhaga Vaazhvurimai Katchi,1
RAJEEV,Tamilaga Vettri Kazhagam,1
RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,1
RAJENDARAN. N,Independent,1
RAJENDIRAN NAIDU,Independent,1
RAJENDRAN. A,Independent,1
RAJENDRAN. G,Independent,1
RAJENDRAN.P,Independent,1
RAJENDRAN R,Independent,1
RAJENDRAN. R,Dravida Munnetra Kazhagam,1
RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,1
RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,1
RAJENDRAN. T. M,Dravida Munnetra Kazhagam,1
RAJENTHRABHALAJI K T,All India Anna Dravida Munnetra Kazhagam,1
RAJESH,Independent,1
RAJESH E,Independent,1
RAJESHKANNAN. K.,Independent,1
RAJESHKANNAN R,Independent,1
RAJESHKUMAR. K,Independent,1
RAJESH KUMAR. S,Indian National Congress,1
RAJESHKUMAR. S,Naam Tamilar Katchi,1
RAJESH .M,Independent,1
RAJESH. S,Tamizhaga Vaazhvurimai Katchi,1
RAJESH.T,Independent,1
RAJESH T R,Independent,1
RAJESH X,Tamizhaga Vaazhvurimai Katchi,1
RAJESSH. T,Naam Tamilar Katchi,1
RAJI M,Independent,1
RAJIVGANDHI P,Independent,1
RAJIV GANDHI. S,Bahujan Samaj Party,1
RAJIVGANDHI S,Independent,1
RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,1
RAJKUMAR,Independent,1
RAJKUMAR C,Party for the Rights of Other backward Classes,1
RAJKUMAR D,Tamilaga Vettri Kazhagam,1
RAJKUMAR.D,Tamizhaga Vaazhvurimai Katchi,1
RAJ KUMAR .G,Tamizhaga Vaazhvurimai Katchi,1
RAJKUMAR K,Independent,1
RAJKUMAR.M,Independent,1
RAJKUMAR.R,Independent,1
RAJKUMAR S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RAJMOHAN,Independent,1
RAJMOHAN,Tamilaga Vettri Kazhagam,1
RAJ. P.,Independent,1
RAJ. S,Bahujan Samaj Party,1
RAJ.S.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
RAJU. A,Independent,1
RAJU.J.M,Independent,1
RAJU. V,Independent,1
RAKESH. K,Tamilaga Vettri Kazhagam,1
RAKESH KUMAR. M,Thamizhaka Padaippalar Makkal Katchi,1
RAKESH R,All India Anna Dravida Munnetra Kazhagam,1
RAKESH SHARMA. R,Thakkam Katchi,1
RAKKI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RAMACHANDIRAN M,Tamizhaga Vaazhvurimai Katchi,1
RAMACHANDIRAN.R,Independent,1
RAMACHANDRAN A,Independent,1
RAMACHANDRAN. A,Ganasangam Party of India,1
RAMACHANDRAN.B,Indian National Congress,1
RAMACHANDRAN .C,Independent,1
RAMACHANDRAN.K,Independent,1
RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam,1
RAMACHANDRAN O N,Independent,1
RAMACHANDRAN P,Anti Corruption Dynamic Party,1
RAMACHANDRAN.R,Bahujan Samaj Party,1
RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,1
RAMACHANDRAN . T,Indian National Congress,1
RAMACHANDRAN. T,Communist Party of India,1
RAMACHANDRAN. V,Independent,1
RAMADASS D,Samaniya Makkal Nala Katchi,1
RAMADEVI. T,Puthiya Tamilagam,1
RAMADOSS.C,Indhu Dravida Makkal Katchi,1
RAMA JANARTHANAN S,Independent,1
RAMAKRISHNAN,Independent,1
RAMAKRISHNAN.C,Independent,1
RAMAKRISHNAN M,Independent,1
RAMAKRISHNAN R,Independent,1
RAMAKRISHNAN. S,Independent,1
RAMALINGAM. A,Independent,1
RAMALINGAM. V,Independent,1
RAMAMOORTHI. G,Rashtriya Samaj Dal (R),1
RAMAMOORTHI R,Independent,1
RAMAMOORTHY E,Independent,1
RAMAMOORTHY. G,Independent,1
RAMANATHAN M,Independent,1
RAMANATHAN. S.V,Independent,1
RAMAN K,Independent,1
RAMAN. M.,Independent,1
RAMAN V,Bahujan Samaj Party,1
RAMAR PANDI  T,Bahujan Samaj Party,1
RAMASAMY.G.C,Independent,1
RAMASAMY N,Independent,1
RAMASAMY P,Bahujan Samaj Party,1
RAMASAMY S.,Independent,1
RAMASAMY.S,Samaniya Makkal Nala Katchi,1
RAMESH,Tamilaga Vettri Kazhagam,1
RAMESH A,Independent,1
RAMESH. G.,Tamizhaga Vaazhvurimai Katchi,1
RAMESH K,Independent,1
RAMESH K,Naam Tamilar Katchi,1
RAMESH KUMAR. B,Independent,1
RAMESH KUMAR. G,Independent,1
RAMESHKUMAR. V,Independent,1
RAMESH L N,Tamilaga Vettri Kazhagam,1
RAMESH. P,Bharatiya Janata Party,1
RAMESH. P.,Naadaalum Makkal Katchi,1
RAMESH.P,Independent,1
RAMESH.R,Independent,1
RAMESH S,Independent,1
RAMESH. T,Tamizhaga Vaazhvurimai Katchi,1
RAMESH. V,Independent,1
RAMESHWARI,Bharat Jan Chikitsa Party,1
RAMKUMAR. D.M,Independent,1
RAMKUMAR L,Independent,1
RAM KUMAR M.,Naam Tamilar Katchi,1
RAMKUMAR. S BBA.LLB,Independent,1
RAMNATH.T,Independent,1
RAMNESHWARAN. V,Thakkam Katchi,1
RAMPRASAD. N,Independent,1
RAMSINGH.SK,Tamizhaga Vaazhvurimai Katchi,1
RAMU. M,Independent,1
R. AMUTHARANI,Tamilaga Vettri Kazhagam,1
RAMUTHEVAR. P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RAMYA MOHAN,Naam Tamilar Katchi,1
R. ANANDAN,Independent,1
R.ANANTHI,Independent,1
RANGANATHAN. D,Independent,1
RANGANATHAN N,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RANGARAJAN E,Bahujan Samaj Party,1
RANGARAJ.G,Independent,1
RANGASAMYP.,Independent,1
RANGASAMY. S,Bahujan Samaj Party,1
RANI. A,Independent,1
RANI P,Dravida Munnetra Kazhagam,1
RANI. P,All India Anna Dravida Munnetra Kazhagam,1
RANJEETH KUMAR J.,Socialist Unity Centre Of India (COMMUNIST),1
RANJITHAM.M,Independent,1
RANJITHA V,Independent,1
RANJITH K,Independent,1
RANJITHKUMAR BALUSAMY,Bahujan Samaj Party,1
RANJITH KUMAR  M,Bahujan Samaj Party,1
RANJITH KUMAR.S,Independent,1
RANJITH KUMAR. V,Independent,1
RANJITH S,Independent,1
RANJITH. S,Tamizhaga Vaazhvurimai Katchi,1
R.ARUNKUMAR,Independent,1
RASANAYAGAM N,Tamizhaga Vaazhvurimai Katchi,1
RASIK MUSSAMMIL. K,Tamizhaga Vaazhvurimai Katchi,1
RASUPILLAI.S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
RATHINA PRAKASH. K,Puthiya Tamilagam,1
RATHINARAJA S,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,1
RATHINAVEL. M,Independent,1
RAVANAN M.,Naadaalum Makkal Katchi,1
RAVI. AG,Tamizhaga Vaazhvurimai Katchi,1
RAVICHANDIRAN.N,Independent,1
RAVICHANDRAN G,Independent,1
RAVICHANDRAN K.P,Bahujan Samaj Party,1
RAVICHANDRAN. R,Independent,1
RAVI GOVINTHAN,Independent,1
RAVIKUMAR,Independent,1
RAVIKUMAR.M,Independent,1
RAVIKUMAR.R,Bahujan Samaj Party,1
RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,1
RAVI M L,Desiya Makkal Sakthi Katchi,1
RAVI. R,Communist Party of India (Marxist-Leninist) (Liberation),1
RAVISANKAR.M,Tamilaga Vettri Kazhagam,1
RAVISANKAR N.,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
RAVI. V,Independent,1
RAYAR K,Independent,1
R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
R. BALAJI,Independent,1
R.BALAMURUGAN,Independent,1
R.CHINNARAJ,Independent,1
R.DEVAKUMAR,Independent,1
R.DHANDAPANI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
R DINESH,Independent,1
R. DINESHKUMAR,Independent,1
R.D. SHEKAR,Dravida Munnetra Kazhagam,1
REAGON ANTO.J,Tamizhaga Vaazhvurimai Katchi,1
REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,1
R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,1
REEGAN PRABHU,Independent,1
REGUPATHY.S,Dravida Munnetra Kazhagam,1
R. ELANGOVAN,Bahujan Samaj Party,1
RENGANATHAN DORAISAMY,Rashtriya Samaj Dal (R),1
RENGANAYAGALU.S,Independent,1
R.ESAIKANNAN,Bahujan Samaj Party,1
R. ESAKKIMUTHU,Amma Makkal Munnettra Kazagam,1
R.ETHIRAJ,Independent,1
RETNA MONY S,Independent,1
REVANTH S N,Independent,1
REVATHI K,Naam Tamilar Katchi,1
REVATHI K.,Naam Tamilar Katchi,1
REVATHI L,Naam Tamilar Katchi,1
REVATHI MUTHAMILSELVAN,Tamilaga Vettri Kazhagam,1
REVATHI. S,Akila Inthiya Makkal Marumalarchi Kazhakam,1
REVATHI. T.M,Dravida Munnetra Kazhagam,1
R FOUZAN SHARIFF,Naam Tamilar Katchi,1
R. GANDHI,Dravida Munnetra Kazhagam,1
RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,1
R ILAIYARAJA,Indhu Dravida Makkal Katchi,1
R. IMMANUVEL,Independent,1
R.INDHUMATHI,Independent,1
RITISH,Independent,1
R. JANARTHANAN,Bahujan Samaj Party,1
R.JAWAHAR,Independent,1
R JAYALAKSHMI,Naam Tamilar Katchi,1
R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,1
R. JAYASEELAN,Independent,1
R. KATHIRAVAN,Tamilaga Vettri Kazhagam,1
R KOTHERIMOHIDEEN,Independent,1
R.KRISHNAN,Independent,1
R. KUMAR,Independent,1
R. KUMARAVEL,Independent,1
R.KUMARESAN,Independent,1
R KUPPUSAMY,Indian National Congress,1
R. MAHESH,Independent,1
R. MANIAN,Independent,1
R.MANIKANDABRABHU,Independent,1
R. MANIKANDAN,Independent,1
R MANOHAR,All India Anna Dravida Munnetra Kazhagam,1
R.MAYAVAN,Independent,1
RM. KARUMANICKAM,Indian National Congress,1
R.MOOVENDRAN,Independent,1
R. MURALIDHARAN,Independent,1
R. MURUGAN,Independent,1
R. MUTHU CHELLA BHARATHI,Independent,1
R. MUTHUKUMAR,Samaniya Makkal Nala Katchi,1
R.MUTHUKUMAR,Independent,1
R.NATARAJAN,Independent,1
ROHINI.S,Independent,1
ROKESH KUMAR. V,Tamizhaga Vaazhvurimai Katchi,1
ROMANRAJ. A,Independent,1
ROSHINI S,Naam Tamilar Katchi,1
ROYAL RAJA,Tamizhaga Vaazhvurimai Katchi,1
ROY GEORGE,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
R. PANNEERDOSS,Viduthalai Chiruthaigal Katchi,1
R PAULRAJ,Naam Tamilar Katchi,1
R. PERUMAL,Naam Indiar Party,1
R. PONSILAMBU,Independent,1
R.PRABU,Tamizhaga Vaazhvurimai Katchi,1
R.RAJA,Independent,1
R.RAJARAM,Naam Tamilar Katchi,1
R. RAJ GURU,Independent,1
R RAJKUMAR,Naam Indiar Party,1
R.RAJKUMAR,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
R. RAMACHANDRAN,Independent,1
R.RAMACHANDRAN,Independent,1
R. RAMANAN,Independent,1
R.RAMESH,Independent,1
R. RAMESHKUMAR,Bahujan Samaj Party,1
R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,1
R. RAMKUMAR,Independent,1
R.RAVI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
R RAVICHANDRAN,Independent,1
R. RAVIKUMAR,Independent,1
R.RAVIKUMAR,Independent,1
R. SABTHAGIRI,Independent,1
R. SAMPATH KUMAR,Independent,1
R.SANGEETHA,Naadaalum Makkal Katchi,1
R.SARAVANAN,Independent,1
R.SARAVANAN,Namadhu Makkal Katchi,1
R. SATHISH KUMAR,Independent,1
R. SATHIYANARAYANAN,Independent,1
R. SATHYA,All India Anna Dravida Munnetra Kazhagam,1
R.S.BALAJI,Independent,1
R. SELVAKUMAR,Naam Indiar Party,1
R.SELVAKUMAR,Independent,1
R. SENTHIL KUMAR,Independent,1
R.SESU,Independent,1
R.SETHUPATHI,Independent,1
R. SETHURAGUNATHAN,Independent,1
R. SIVA,Independent,1
R. SIVAKUMAR,Independent,1
R.S.KIRUTHIKA DEVI,Dravida Munnetra Kazhagam,1
R.S.RAAJESH,All India Anna Dravida Munnetra Kazhagam,1
R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,1
R.SRIDAR. B.L.,Naam Tamilar Katchi,1
R  SRINIVASAN,Tamil Telugu National Party,1
R.SUGAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
R SUNDARARAJ,Amma Makkal Munnettra Kazagam,1
R.SURESH,Independent,1
R.SURESH,Party for the Rights of Other backward Classes,1
R. TAMILARASAN,Independent,1
R.TAMILARASAN,Independent,1
R THILAGESWARAN,Independent,1
R THIRUMALAI,Tamilaga Vettri Kazhagam,1
RUBIN ANTONY,Tamizhaga Vaazhvurimai Katchi,1
RUBY.R.MANOHARAN,Indian National Congress,1
R.VAIRAM,Independent,1
R. VAITHILINGAM,Dravida Munnetra Kazhagam,1
R.V. BHARATHAN,All India Anna Dravida Munnetra Kazhagam,1
R. VEERAMANI,Independent,1
R.VELMURUGAN,Tamilaga Vettri Kazhagam,1
R.VELUSAMY,Independent,1
R.VIJAYALAKSHMI,Ganasangam Party of India,1
R. VIJAYSARAVANAN,Tamilaga Vettri Kazhagam,1
R.VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
R. VINOTHKUMAR,Naam Indiar Party,1
R.VISHNUMOORTHY,Independent,1
R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,1
R.YOGESHWARAN,Independent,1
R. YUVARAJ,Independent,1
SAAMY. S.K. DR,Independent,1
SABA.RAJENDRAN,Dravida Munnetra Kazhagam,1
SABAREESAN. D,Independent,1
SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,1
SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra Kazhagam,1
SABARINATHAN.P,Independent,1
SABARINATHAN.R,Tamilaga Vettri Kazhagam,1
S.ABDUL RAHIMAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
SABIN. S,Tamilaga Vettri Kazhagam,1
SADHASIVAM. S,Pattali Makkal Katchi,1
SAHAYAM T.,Communist Party of India (Marxist-Leninist) (Liberation),1
SAHUL HAMEED M,Independent,1
SAKKARAPANI. R,Dravida Munnetra Kazhagam,1
SAKKARAVARTHY P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
SAKKARAVARTHY.P,Independent,1
SAKTHIK KUMAR,Independent,1
SAKTHI.M,All India Anna Dravida Munnetra Kazhagam,1
SAKTHIVEL,Independent,1
SAKTHIVEL A,Independent,1
SAKTHIVEL A,Thakkam Katchi,1
SAKTHIVEL. A,Independent,1
SAKTHIVEL. D,Independent,1
SAKTHIVEL. G,Independent,1
SAKTHIVEL.G,Independent,1
SAKTHIVEL. M,Naadaalum Makkal Katchi,1
SAKTHIVEL. M.,Independent,1
SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,1
SAKTHIVEL. R,Viduthalai Kalam Katchi,1
SAKTHIVEL S,Tamizhaga Vaazhvurimai Katchi,1
SAKTHIVEL. S,Tamilaga Vettri Kazhagam,1
SALAM .M,Independent,1
SALATE KANAGARAJ A,Naam Indiar Party,1
S. ALBERT FRANCIS XAVIER,Tamizhaga Vaazhvurimai Katchi,1
SALEEM,Independent,1
SALMAN. E,Independent,1
SAMAYAN.S,Tamilaga Vettri Kazhagam,1
SAMIKKANNU M,Independent,1
SAMINATHAN. C,Independent,1
SAMINATHAN. T,Dravida Munnetra Kazhagam,1
SAMPANGI.S.R,Tamilaga Vettri Kazhagam,1
SAMPATH,Independent,1
SAMPATH. C,Independent,1
SAMPATH. K,Independent,1
SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,1
SAMPATH. L,Independent,1
SAMPATHRAJ.M,Independent,1
SAMPATH. S,Independent,1
SAMUEL J.,Independent,1
SAMUEL RAJ,Independent,1
S.AMULU PONMALAR,Dravida Munnetra Kazhagam,1
S.ANANDHAKUMAR,Independent,1
SANGAI. GANESAN,Indian National Congress,1
SANJAY GANDHI.  V,Desa Makkal Munnetrak Kazhagam,1
SANKAR A,Independent,1
SANKARA NARAYANAN ALIAS SARAN,Naam Tamilar Katchi,1
SANKAR.E,Independent,1
SANKAR K.,Tamilaga Vettri Kazhagam,1
SANKARKUMAR.K.A,Independent,1
SANKARKUMAR .S,Independent,1
SANKAR M.,Rashtriya Samaj Dal (R),1
SANKAR.P,Puthiya Tamilagam,1
SANKAR R,Tamizhaga Vaazhvurimai Katchi,1
SANKAR. R,Independent,1
SANKAR S,Independent,1
SANKAR. S,Independent,1
SANKAR T.K,Tamizhaga Vaazhvurimai Katchi,1
SANMUGAM B,Independent,1
SANMUGAVEL K.,Independent,1
SANNIYASI N,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
S ANSAR ALI,Independent,1
SANTHAKUMARAN. A,Independent,1
SANTHALINGAM. C,Independent,1
SANTHANAM,Independent,1
SANTHANAM.R,Independent,1
SANTHOSH,Naam Tamilar Katchi,1
SANTHOSHKUMAR.E,Independent,1
SANTHOSHKUMAR.J,Bahujan Samaj Party,1
SANTHOSH KUMAR R,Independent,1
S.APPU,Independent,1
SARABESHWAR SISU. P,Independent,1
SARANYA. A,All India Anna Dravida Munnetra Kazhagam,1
SARANYA IMRAN,Naam Tamilar Katchi,1
SARANYA. M,Independent,1
SARATHKUMAR. R,Independent,1
SARAVANAKUMAR. M,Independent,1
SARAVANAKUMAR. S,Independent,1
SARAVANAKUMAR. T,Indian National Congress,1
SARAVANAKUMAR.V,Independent,1
SARAVANAN,Independent,1
SARAVANAN. A.,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
SARAVANAN .D,Independent,1
SARAVANAN. DURAI . K,Dravida Munnetra Kazhagam,1
SARAVANAN. G,Tamilaga Vettri Kazhagam,1
SARAVANAN. G,Independent,1
SARAVANAN. G.,Independent,1
SARAVANAN . J,Independent,1
SARAVANAN. K,Tamizhaga Vaazhvurimai Katchi,1
SARAVANAN. K,Independent,1
SARAVANAN KUMAR,Independent,1
SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,1
SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,1
SARAVANAN. R,Independent,1
SARAVANAN. S,Independent,1
SARAVANAN.S,Thamizh Perarasu Katchi,1
SARAVANAN S.R.,Independent,1
SARAVANASUNDARAM S,Independent,1
